id,title,subtitle,content,price,category,photo,section
1,Egg Sandwich,Sandwich de Huevo,,3.5,All Day Breakfast Sandwichs,,breakfast
2,Egg and Meat Sandwich,,"Meat (Sausage or Bacon or Ham)
Sandwich de Huevo y Carne 
Carne (Huevo, Bacon o Jamón) ",4.5,All Day Breakfast Sandwichs,,breakfast
3,Ham and Cheese Sandwich,,Sandwich de jamón y queso,5.5,All Day Breakfast Sandwichs,,breakfast
4,Tropics’ Big Breakfast,,"2 Eggs* (Scrambled or Fried) 2 Huevos (Fritos o revueltos)  + 1 Favorite, 1 Side, 1 Breakfast Drink, 1 Toast",6.5,All Day Breakfast,,breakfast
5,Tropics’ Huge Breakfast,,"On Horse Breakfast Your Choose between Palomilla Steak, grupo A Chicken Breast, Boneless Fried Chicken Chunks,  Breaded Fish, Pork Chops or Fried Pork Chunks. + 2 Eggs* (Scrambled or Fried) 2 Huevos (Fritos o revueltos)  1 Side, 1 Breakfast Drink, 1 Toast",12,All Day Breakfast Sandwichs,,breakfast
6,Tropic’s Steak Sandwich,,"Pan con Bistec Cooked Onions, lettuce, tomatoes, mayonaisse  and potato sticks in cuban bread",6.5,Sandwichs,,breakfast
7,Tropic’s Farmer Sandwich,,"Sandwich Granjero Breaded chicken, lettuce, tomatoes, mayo  and potato sticks in cuban bread ",6.5,Sandwichs,,breakfast
8,The Classic Cuban Sandwich,,"Sandwich Cubano  Ham, pork, swiss cheese, pickles, mayonaisse  and mustard in cuban bread",5.5,Sandwichs,,breakfast
9,Midnight Sandwich,,"Sandwich de Media Noche Ham, pork, swiss cheese, pickles, mayonaisse  and mustard in sweet bread.",5.5,Sandwichs,,breakfast
10,Ground Beef Sandwich,,"Sandwich de Picadillo Ground beef with olives, raisins and potato sticks with mayonaisse",6.5,Sandwichs,,breakfast
11,B.L.T. Sandwich,,Bacon lettuce and tomatoes in cuban bread,5.5,Sandwichs,,breakfast
12,Grill Chicken Breast Sandwich,,"Sandwich de Pechuga de Pollo al Grill Cooked Onions, lettuce, tomatoes, mayonaisse  and potato sticks ",6.5,Sandwichs,,breakfast
13,Tuna Sandwich,,"Raw onions, celery, lettuce, tomatoes, mayonaisse in cuban bread",6.5,Sandwichs,,breakfast
14,½ Pound Bacon Cheese BURGER* $7.5,,"Hamburguesa Tropics American Yellow Cheese, Bacon, lettuce, tomatoes, mayonaisse and French Fries",7.5,Sandwichs,,breakfast
15,Pork Sandwich,,Pan con Lechón Cooked Onions and mayonaisse in cuban bread,6.5,Sandwichs,,breakfast
16,Breaded Fish Sandwich,,"Sandwich de Pescado Empanizado Lettuce, tomatoes, mayo and potato sticks",7.5,Sandwichs,,breakfast
17,Chicken Cesar Salad,Ens. César con Pollo,,8,Salads and Pastas,,everyday
18,Shrimps Cesar Salad,Ens. César Camarones,,13,Salads and Pastas,,everyday
19,Linguini Alfredo Chicken and Mushrooms,Lingüini Alfredo con Pollo y Champiñones ,,8.5,Salads and Pastas,,everyday
20,Linguini Pasta in Red Sauce with Beef,Lingüini en Salsa Roja con Churrasco,,11,Salads and Pastas,,everyday
21,Alfredo Lingüini Pasta with Shrimps,Lingüini en Salsa Alfredo con Camarones,,13,Salads and Pastas,,everyday
22,Chicken Breast Grilled with Onions, Pechuga de Pollo a la Plancha,,8,Chicken,,everyday
23,Boneless Fried Chicken,Chicharrón de Pollo,,8,Chicken,,everyday
24,Chicken Breast in Creamy Mushrooms, Pechuga de Pollo al Champiñón,,8.5,Chicken,,everyday
25,Breaded Chicken Milanesa,Milanesa de Pollo,,9.5,Chicken,,everyday
26,Sauted Pepper Chicken,Salteado de Pollo,,8.5,Chicken,,everyday
27,Chicken Fingers with French Fries,Deditos de Pollo,,9,Chicken,,everyday
28,Shredded Beef Cuban Style,Ropa Vieja,,8.5,Beef,,everyday
29,Shredded Beef Sauted with Onions,Vaca Frita,,8.5,Beef,,everyday
30,Palomilla Steak, Bistec de Palomilla,,8.5,Beef,,everyday
31,Breaded Palomilla Steak,Palomilla Empanizada,,9,Beef,,everyday
32,Pepper Steak,Salteado de Carne en Pimientos,,8.5,Beef,,everyday
33,Baby Churrasco* (8oz) ,,,11,Beef,,everyday
34,Liver Strips Italian Style,Hígado a la Italiana,,8,Beef,,everyday
35,Liver Strips Sauted,Salteado de Hígado,,8,Beef,,everyday
36,Baked Beef Brisket,Carne Horneada a la Cubana,,8.5,Beef,,everyday
37,Breaded Palomilla Milanesa,,,9.5,Beef,,everyday
38,Braised Pork Chunks,Masitas de Cerdo,,8,Pork,,everyday
39,Pork Chops on the Grill,Chuletas Plancha,,8.5,Pork,,everyday
40,Roasted Pork on the Griddle,Lechón Asado,,8,Pork,,everyday
41,Breaded Pork Loin, Lomo de Cerdo Escalope,,8.5,Pork,,everyday
42,Fish on the Griddle,Pescado a la Plancha,,9,Seafood,,everyday
43,Breaded Fish,Pescado Empanizado,,9,Seafood,,everyday
44,Ahi-Tuna Steak in Pepper Red Sauce,Ahi-Tuna en Salsa de Pimientos Rojos,,12,Seafood,,everyday
45,Shrimps Creole Sauce,Camarones Enchilados,,13,Seafood,,everyday
46,Shrimps in Garlic Sauce,Camarones al Ajillo,,13,Seafood,,everyday
